,pdf 0,pdf 1,pdf 2,pdf 3
,0,0,0,0
0,0,0,0,3
1,0,0,0,3
10,0,0,0,3
100,0,0,0,3
10th,1,0,0,0
110052,1,0,0,0
1255,0,0,1,0
12th,1,0,0,0
17,0,1,0,0
2,2,0,1,6
20,0,1,0,0
2001,2,0,0,0
2005class,0,0,0,3
2007,0,0,0,3
2007class,0,0,0,3
2009,0,0,0,9
2010,0,0,0,18
2017,1,0,0,0
2019,1,0,0,0
2023,2,0,0,0
20xx,0,10,5,0
21,1,0,0,0
22,1,0,1,0
22nd,1,0,0,0
23,2,0,0,0
3,0,2,1,0
300,0,0,1,0
33,0,1,0,0
35,0,1,0,0
4,0,0,1,3
408,0,1,0,0
5,1,0,0,0
55,0,0,1,0
555,0,1,0,0
5555,0,1,0,0
581,0,0,1,0
6,1,1,0,0
6186,0,0,1,0
801,0,0,1,0
84112,0,0,1,0
9,0,0,0,3
90,0,0,0,3
91,1,0,0,3
93,0,0,0,3
938,0,0,0,3
95192,0,1,0,0
9873424386,1,0,0,0
99,0,0,0,3
9911592327,0,0,0,3
a,8,3,9,24
abc,0,1,0,0
ability,0,0,1,0
about,0,0,2,0
academic,0,0,0,3
access,0,1,0,0
accessing,1,0,0,0
account,0,0,0,3
accuracies,0,0,0,6
acquired,1,0,0,0
actionable,1,0,0,0
activities,0,2,0,3
activity,0,0,0,6
adapt,0,1,0,0
address,1,0,0,0
adjust,0,0,1,0
administrator,0,1,0,0
adobe,0,0,2,0
advanced,3,0,0,0
advancements,1,0,0,0
advisor,0,0,1,0
advisory,0,0,1,0
age,0,1,0,0
agged,0,0,0,3
aissce,0,0,0,3
aisse,0,0,0,3
algorithm,1,0,0,0
algorithms,3,2,3,0
all,0,1,0,0
allow,0,0,0,3
also,0,0,0,6
am,0,0,0,3
among,1,0,0,0
an,1,0,0,6
analysis,1,0,0,6
analytical,3,0,0,0
and,18,18,7,39
android,1,0,1,0
any,0,0,0,3
api,1,0,0,0
app,7,0,0,0
application,3,2,0,0
applications,1,1,0,0
applied,0,0,1,0
appropriate,0,0,0,3
apps,1,0,0,0
april,0,0,0,3
architecture,2,1,0,0
are,0,0,1,6
areas,0,0,1,0
artificial,0,0,1,0
as,1,0,1,6
ashok,1,0,0,0
association,0,0,1,0
asynchronous,0,0,1,0
at,0,0,0,3
aug,0,2,0,0
augment,0,1,0,0
august,1,0,0,0
award,0,0,0,3
b,2,1,0,6
bal,0,0,0,6
banerjee,0,0,0,9
based,2,1,0,3
basic,0,1,0,0
be,0,0,1,0
better,0,0,0,3
bharati,0,0,0,6
birth,1,0,0,0
bloc,2,0,0,0
brainstormed,0,1,0,0
btech,0,0,0,3
building,1,0,0,0
business,2,0,0,0
by,0,2,3,3
